label,message,tokens,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,"['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']",0.06926636,0.142178,0.012722634,0.08154827,0.07377176,0.07377185,0.07377183,0.07377183,0.07377183,0.07377183,0.07377183,0.07377183,0.015169385,0.015169023,0.07377183
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']",0.6819097,0.017880533,0.017494505,0.023901153,0.024356864,0.024356887,0.024356887,0.024356887,0.024356887,0.024356887,0.024356887,0.024356887,0.019801103,0.019800963,0.024357026
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,"['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']",0.0030972124,0.0038449166,0.0047034766,0.09046825,0.09391531,0.09391565,0.093915716,0.093915716,0.093915716,0.093915716,0.093915716,0.093915716,0.0263229,0.026322402,0.093915604
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'us']",0.684659,0.01905485,0.017831217,0.023887957,0.024216274,0.024216332,0.024216332,0.024216332,0.024216332,0.024216332,0.024216332,0.024216332,0.018310048,0.0183099,0.024216494
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"['yeah', 'got', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badli', 'cheer']",0.0050593554,0.0062903296,0.00830759,0.05673342,0.058540713,0.058539554,0.05853956,0.05853956,0.05853956,0.05853956,0.05853956,0.05853956,0.19837546,0.19837542,0.05854073
ham,K tell me anything about you.,"['k', 'tell', 'anyth']",0.006357298,0.003833861,0.0034407876,0.091951445,0.094699726,0.094699964,0.09469997,0.09469997,0.09469997,0.09469997,0.09469997,0.09469997,0.021058265,0.02105794,0.09470093
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"['fear', 'faint', 'housework', 'quick', 'cuppa']",0.009143558,0.37661868,0.3842186,0.018987115,0.01899922,0.01899922,0.01899922,0.01899922,0.01899922,0.01899922,0.01899922,0.01899922,0.020019474,0.02001954,0.018999225
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', '£month', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']",0.38866484,0.007990626,0.007371507,0.05691231,0.055860102,0.05586262,0.05586262,0.05586262,0.05586262,0.05586262,0.05586262,0.05586262,0.018150862,0.018150955,0.05586053
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', 'nd', 'may', 'lesson']",0.0065417835,0.0092611825,0.010026724,0.05284902,0.053444747,0.05344483,0.05344483,0.05344483,0.05344483,0.05344483,0.05344483,0.05344483,0.22015743,0.22015753,0.05344771
ham,"Oops, I'll let you know when my roommate's done","['oop', 'ill', 'let', 'know', 'roommat', 'done']",0.71832,0.018537018,0.018611006,0.02044182,0.020490928,0.020490928,0.020490928,0.020490928,0.020490928,0.020490928,0.020490928,0.020490928,0.0198359,0.019835891,0.020490948
ham,I see the letter B on my car,"['see', 'letter', 'b', 'car']",0.7157891,0.017898465,0.018907774,0.020724026,0.020725785,0.020725785,0.020725785,0.020725785,0.020725785,0.020725785,0.020725785,0.020725785,0.02007439,0.0200744,0.020725785
ham,Anything lor... U decide...,"['anyth', 'lor', 'u', 'decid']",0.004662262,0.003680523,0.003396325,0.08542277,0.093115,0.09311487,0.09311486,0.09311486,0.09311486,0.09311486,0.09311486,0.09311486,0.032403074,0.032400407,0.0931155
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,"['hello', 'how', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'tri', 'invit', 'anyth']",0.44697443,0.013093596,0.012289573,0.049831975,0.050430946,0.05043092,0.05043092,0.05043092,0.05043092,0.05043092,0.05043092,0.05043092,0.011966284,0.011966284,0.050430402
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']",0.41107062,0.014657761,0.014646372,0.05194259,0.051578395,0.051578395,0.051578395,0.051578395,0.051578395,0.051578395,0.051578395,0.051578395,0.021738376,0.021738231,0.051578984
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']",0.004072943,0.005205517,0.0067628776,0.06008807,0.071824804,0.07182518,0.07182518,0.071825184,0.071825184,0.071825184,0.071825184,0.071825184,0.13872273,0.1387228,0.071824014
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"['rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', 'deliveri', 'tomorrow']",0.03923332,0.005455815,0.006253563,0.09840912,0.09119622,0.09119659,0.09119657,0.09119657,0.09119657,0.09119657,0.09119657,0.09119657,0.014938708,0.014938626,0.09119864
ham,WHO ARE YOU SEEING?,['see'],0.0038961424,0.0037861804,0.0046537095,0.09272594,0.0943563,0.09435643,0.09435643,0.09435643,0.09435643,0.09435643,0.09435643,0.09435643,0.022865076,0.022864819,0.09435673
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,"['great', 'hope', 'like', 'man', 'well', 'endow', 'ltgt', 'inch']",0.00863286,0.018613368,0.29474333,0.053578068,0.06257293,0.06257312,0.06257312,0.06257312,0.06257312,0.06257312,0.06257312,0.06257312,0.030638527,0.030637132,0.06257203
ham,No calls..messages..missed calls,"['callsmessagesmiss', 'call']",0.00307456,0.0038904704,0.0047260583,0.09617425,0.09488527,0.09488554,0.09488554,0.09488554,0.09488554,0.09488554,0.09488554,0.09488554,0.019082047,0.019081784,0.094886854
ham,Didn't you get hep b immunisation in nigeria.,"['didnt', 'get', 'hep', 'b', 'immunis', 'nigeria']",0.6691245,0.019592378,0.022374634,0.02423599,0.024262514,0.024262527,0.024262527,0.024262527,0.024262527,0.024262527,0.024262527,0.024262527,0.023154898,0.023154875,0.024262527
ham,"Fair enough, anything going on?","['fair', 'enough', 'anyth', 'go']",0.003093638,0.003918382,0.0047029234,0.077717535,0.082525834,0.08252529,0.08252537,0.08252537,0.08252537,0.08252537,0.08252537,0.08252537,0.08393884,0.08389898,0.08252631
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","['yeah', 'hope', 'tyler', 'cant', 'could', 'mayb', 'ask', 'around', 'bit']",0.41928688,0.015081758,0.01449036,0.049303975,0.050895985,0.05089601,0.05089601,0.05089601,0.05089601,0.05089601,0.05089601,0.05089601,0.0218865,0.02188649,0.05089611
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', 'im', 'weak', 'sucker', 'hospit', 'weak', 'sucker']",0.50404495,0.23270278,0.017368095,0.020285103,0.020306734,0.020306734,0.020306734,0.020306734,0.020306734,0.020306734,0.020306734,0.020306734,0.021419222,0.021419467,0.020306725
ham,What you thinked about me. First time you saw me in class.,"['think', 'first', 'time', 'saw', 'class']",0.0036389402,0.0040270425,0.0049722595,0.09008016,0.09537088,0.09537104,0.09537104,0.09537104,0.09537104,0.09537104,0.09537104,0.09537104,0.01947114,0.019471193,0.09537106
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","['gram', 'usual', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']",0.003692813,0.004256949,0.0051288106,0.078247935,0.09777761,0.09777773,0.09777782,0.097777836,0.097777836,0.097777836,0.097777836,0.097777836,0.014336381,0.014336115,0.09777859
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"['k', 'fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', 'he', 'crash', 'place', 'tonight']",0.0076150247,0.059019066,0.2873492,0.048614964,0.05183203,0.051831573,0.051831573,0.051831573,0.051831573,0.051831573,0.051831573,0.051831573,0.06558774,0.06532901,0.051831968
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', 'cave', 'im', 'sorri', 'didnt', 'dont', 'give', 'im', 'sorri', 'offer', 'im', 'sorri', 'room', 'embarass']",0.4498731,0.015419185,0.015070549,0.04358538,0.044998582,0.04499869,0.044998698,0.044998698,0.044998698,0.044998698,0.044998698,0.044998698,0.035531815,0.035531476,0.044998903
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'repli', 'end', 'sptv']",0.77554584,0.017425366,0.016720079,0.015881045,0.015891545,0.015891545,0.015891545,0.015891545,0.015891545,0.015891545,0.015891545,0.015891545,0.015701856,0.015701864,0.015891537
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']",0.0029889059,0.004250335,0.004789998,0.09269091,0.09429732,0.09429778,0.09429778,0.09429778,0.09429778,0.09429778,0.09429778,0.09429778,0.023299843,0.023299187,0.09429906
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","['congrat', 'year', 'special', 'cinema', 'pass', 'call', 'c', 'suprman', 'v', 'matrix', 'starwar', 'etc', 'free', 'bxipw', 'pm', 'dont', 'miss']",0.78681046,0.0160527,0.015690548,0.015111818,0.015116328,0.015116328,0.015116328,0.015116328,0.015116328,0.015116328,0.015116328,0.015116328,0.015143881,0.015143881,0.015116336
ham,"Sorry, I'll call later in meeting.","['sorri', 'ill', 'call', 'later', 'meet']",0.0043723537,0.0035451548,0.0034972506,0.0932194,0.095113575,0.095113784,0.095113784,0.09511378,0.09511378,0.09511378,0.09511378,0.09511378,0.01967053,0.019670298,0.0951151
ham,Tell where you reached,"['tell', 'reach']",0.0042748894,0.0035228713,0.0038609824,0.08850447,0.09464008,0.09464023,0.09464019,0.09464019,0.09464019,0.09464019,0.09464019,0.09464019,0.024037605,0.024037292,0.09464041
ham,Yes..gauti and sehwag out of odi series.,"['yesgauti', 'sehwag', 'odi', 'seri']",0.0029023308,0.0043857135,0.007068213,0.094101086,0.09417226,0.09417604,0.09417604,0.09417603,0.09417603,0.09417603,0.09417603,0.09417603,0.021984613,0.02198327,0.094170265
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,"['gonna', 'pick', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'kill']",0.008659906,0.041893866,0.07397219,0.018887205,0.019602498,0.019602489,0.019602489,0.019602489,0.019602489,0.019602489,0.019602489,0.019602489,0.34009114,0.34007305,0.019602694
ham,Ha ha ha good joke. Girls are situation seekers.,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situat', 'seeker']",0.004406558,0.00450455,0.057736944,0.0811267,0.09204407,0.09204397,0.09204396,0.09204397,0.09204397,0.09204397,0.09204397,0.09204397,0.011913057,0.01191314,0.09204714
ham,Its a part of checking IQ,"['part', 'check', 'iq']",0.008280685,0.0033204588,0.004373876,0.08158133,0.080424994,0.08042533,0.08042529,0.08042529,0.08042529,0.08042529,0.08042529,0.08042529,0.08931714,0.08929956,0.080424935
ham,"Sorry my roommates took forever, it ok if I come by now?","['sorri', 'roommat', 'took', 'forev', 'ok', 'come']",0.353936,0.015746143,0.015653284,0.057922382,0.05799984,0.057999812,0.057999812,0.057999812,0.057999812,0.057999812,0.057999812,0.057999812,0.01737209,0.017372014,0.0579996
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",0.7337649,0.01726153,0.017409137,0.019552024,0.019586736,0.019586727,0.019586727,0.019586727,0.019586727,0.019586727,0.019586727,0.019586727,0.017865956,0.017865913,0.019586718
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', '£', 'bonu', 'prize', 'call']",0.7833893,0.01476343,0.01491254,0.01558275,0.015576398,0.015576398,0.015576398,0.015576398,0.015576398,0.015576398,0.015576398,0.015576398,0.015582132,0.01558214,0.015576398
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","['today', 'song', 'dedic', 'day', 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnd', 'first', 'rpli']",0.006493417,0.009611383,0.018926835,0.04527323,0.044945452,0.04494555,0.044945538,0.044945538,0.044945538,0.044945538,0.044945538,0.044945538,0.25759244,0.25759298,0.044945452
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'acoentri', '£', 'claim', 'txt', 'di', '£morefrmmob', 'shracomorsglsuplt', 'ls', 'aj']",0.30585545,0.0067250375,0.0063635074,0.09009202,0.06430659,0.0643068,0.0643068,0.06430679,0.06430679,0.06430679,0.06430679,0.06430679,0.0061017326,0.006101724,0.06430634
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","['hear', 'new', 'divorc', 'barbi', 'come', 'ken', 'stuff']",0.0030482933,0.0041609043,0.0050894604,0.07295412,0.07765445,0.07765486,0.077654846,0.077654846,0.077654846,0.077654846,0.077654846,0.077654846,0.10792799,0.107926,0.07765481
ham,I plane to give on this month end.,"['plane', 'give', 'month', 'end']",0.76287997,0.017400844,0.016961595,0.016900836,0.016909983,0.01691,0.01691,0.01691,0.01691,0.01691,0.01691,0.01691,0.016833402,0.016833402,0.01691
ham,Wah lucky man... Then can save money... Hee...,"['wah', 'lucki', 'man', 'save', 'money', 'hee']",0.004373197,0.0038329142,0.0040132143,0.09313977,0.09544916,0.09544917,0.09544916,0.09544916,0.09544916,0.09544916,0.09544916,0.09544916,0.017799523,0.017797906,0.0954501
ham,Finished class where are you.,"['finish', 'class']",0.0039487965,0.0034089014,0.00432984,0.09178597,0.095718585,0.09571875,0.09571875,0.09571875,0.09571875,0.09571875,0.09571875,0.09571875,0.017529093,0.017528942,0.09571867
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,"['hi', 'babe', 'im', 'home', 'wanna', 'someth', 'xx']",0.003747014,0.003823024,0.0050408123,0.076464765,0.087270975,0.0872721,0.0872721,0.0872721,0.0872721,0.0872721,0.0872721,0.0872721,0.06273023,0.062749445,0.087269
ham,K..k:)where are you?how did you performed?,"['kkwhere', 'youhow', 'perform']",0.002818173,0.00442577,0.0055101938,0.09370986,0.09354422,0.09354388,0.09354389,0.09354389,0.09354389,0.09354389,0.09354389,0.09354389,0.025820922,0.025819665,0.09354393
ham,U can call me now...,"['u', 'call']",0.012151912,0.0038993754,0.0035532922,0.098169826,0.094774194,0.09477494,0.094774924,0.094774924,0.094774924,0.094774924,0.094774924,0.094774924,0.014623319,0.01462319,0.09478043
ham,I am waiting machan. Call me once you free.,"['wait', 'machan', 'call', 'free']",0.73386055,0.015084431,0.014482943,0.021659944,0.020878553,0.020878544,0.020878544,0.020878544,0.020878544,0.020878544,0.020878544,0.020878544,0.013502646,0.013502646,0.020878604
